name,contains_water
0264_2.npy,True
0026_4.npy,True
0167_0.npy,True
0162_2.npy,True
0176_0.npy,True
0084_5.npy,True
0137_7.npy,False
0097_3.npy,True
0084_3.npy,True
0092_3.npy,True
0137_6.npy,True
0234_3.npy,True
0132_5.npy,False
0178_3.npy,True
0095_3.npy,True
0176_2.npy,True
0151_6.npy,True
0176_7.npy,True
0251_5.npy,True
0171_7.npy,False
0176_5.npy,False
0167_5.npy,False
0140_3.npy,True
0060_3.npy,True
0183_4.npy,True
0146_5.npy,False
0216_0.npy,True
0140_6.npy,True
0234_5.npy,True
0205_4.npy,True
0216_1.npy,True
0106_3.npy,True
0171_0.npy,True
0007_3.npy,False
0164_4.npy,True
0179_5.npy,True
0164_7.npy,True
0060_0.npy,True
0151_2.npy,True
0162_3.npy,True
0137_0.npy,True
0007_0.npy,True
0216_3.npy,True
0178_7.npy,False
0026_7.npy,True
0007_1.npy,True
0105_1.npy,True
0007_4.npy,True
0234_6.npy,True
0181_4.npy,True
0251_0.npy,True
0170_3.npy,True
0209_6.npy,True
0137_4.npy,True
0209_3.npy,True
0060_1.npy,True
0097_5.npy,True
0260_1.npy,True
0041_3.npy,True
0237_6.npy,True
0140_4.npy,True
0151_0.npy,True
0146_1.npy,True
0162_4.npy,True
0105_5.npy,True
0128_3.npy,False
0209_2.npy,True
0079_5.npy,True
0140_0.npy,True
0095_0.npy,True
0094_3.npy,True
0170_7.npy,True
0183_6.npy,True
0132_6.npy,True
0041_4.npy,True
0170_5.npy,True
0179_1.npy,True
0237_1.npy,True
0041_6.npy,True
0146_7.npy,True
0171_3.npy,True
0041_1.npy,True
0151_1.npy,True
0095_7.npy,True
0181_6.npy,True
0164_0.npy,True
0178_0.npy,True
0181_5.npy,False
0167_1.npy,True
0140_7.npy,False
0095_5.npy,True
0170_0.npy,True
0128_6.npy,True
0237_0.npy,True
0183_3.npy,True
0094_4.npy,True
0181_3.npy,False
0264_0.npy,True
0097_0.npy,True
0137_3.npy,False
0260_6.npy,True
0205_7.npy,True
0105_4.npy,True
0041_7.npy,True
0248_1.npy,True
0190_0.npy,True
0084_7.npy,True
0162_0.npy,True
0171_2.npy,True
0106_7.npy,True
0007_2.npy,True
0237_5.npy,True
0181_0.npy,True
0178_5.npy,True
0178_1.npy,True
0105_2.npy,True
0007_6.npy,True
0105_6.npy,True
0216_4.npy,True
0248_0.npy,True
0260_4.npy,True
0012_1.npy,True
0137_2.npy,True
0167_2.npy,True
0106_2.npy,True
0094_1.npy,True
0094_2.npy,True
0264_6.npy,True
0092_5.npy,True
0170_4.npy,True
0106_0.npy,True
0132_0.npy,True
0097_1.npy,True
0128_2.npy,True
0209_0.npy,True
0181_2.npy,True
0097_2.npy,True
0237_4.npy,True
0260_0.npy,True
0234_4.npy,True
0178_2.npy,True
0060_5.npy,True
0179_4.npy,True
0251_3.npy,True
0106_4.npy,True
0176_6.npy,True
0095_4.npy,True
0205_2.npy,True
0146_3.npy,False
0094_0.npy,True
0164_5.npy,False
0162_5.npy,False
0264_4.npy,True
0183_7.npy,True
0146_4.npy,True
0176_4.npy,True
0209_4.npy,True
0094_6.npy,True
0128_1.npy,True
0132_7.npy,False
0167_4.npy,True
0146_0.npy,True
0216_5.npy,True
0234_2.npy,True
0205_0.npy,True
0095_2.npy,True
0181_7.npy,True
0106_5.npy,True
0012_6.npy,True
0095_1.npy,True
0041_2.npy,True
0181_1.npy,True
0079_6.npy,True
0260_7.npy,True
0060_7.npy,True
0095_6.npy,True
0248_4.npy,True
0237_7.npy,True
0209_5.npy,True
0170_6.npy,True
0092_2.npy,True
0097_7.npy,True
0132_4.npy,True
0079_1.npy,True
0248_2.npy,True
0097_4.npy,True
0094_7.npy,True
0151_4.npy,True
0140_1.npy,True
0026_6.npy,True
0079_0.npy,True
0234_1.npy,True
0248_3.npy,True
0106_1.npy,True
0106_6.npy,True
0264_1.npy,True
0209_7.npy,True
0260_5.npy,True
0007_5.npy,False
0248_7.npy,True
0171_5.npy,True
0128_4.npy,True
0251_6.npy,True
0260_2.npy,True
0060_2.npy,True
0162_6.npy,True
0190_7.npy,True
0205_5.npy,True
0190_6.npy,True
0190_5.npy,True
0251_7.npy,True
0137_1.npy,True
0128_7.npy,False
0179_0.npy,True
0094_5.npy,True
0079_3.npy,True
0178_6.npy,True
0176_1.npy,True
0084_1.npy,True
0164_3.npy,False
0237_3.npy,True
0041_5.npy,True
0140_2.npy,True
0179_2.npy,True
0079_4.npy,True
0140_5.npy,False
0167_3.npy,True
0012_2.npy,True
0171_1.npy,True
0183_0.npy,True
0178_4.npy,True
0026_0.npy,True
0026_1.npy,True
0060_4.npy,True
0190_4.npy,True
0179_3.npy,True
0092_7.npy,True
0234_0.npy,True
0183_2.npy,True
0190_3.npy,True
0264_5.npy,True
0205_6.npy,True
0179_7.npy,True
0170_2.npy,True
0205_3.npy,True
0183_5.npy,True
0132_2.npy,True
0137_5.npy,False
0007_7.npy,False
0105_0.npy,True
0105_3.npy,True
0234_7.npy,True
0167_7.npy,True
0146_2.npy,True
0026_2.npy,True
0251_1.npy,True
0164_1.npy,True
0132_3.npy,False
0171_4.npy,True
0264_3.npy,True
0209_1.npy,True
0079_7.npy,True
0084_4.npy,True
0216_6.npy,True
0097_6.npy,True
0012_5.npy,True
0251_2.npy,True
0171_6.npy,True
0012_3.npy,True
0146_6.npy,True
0092_4.npy,True
0167_6.npy,True
0183_1.npy,True
0084_0.npy,True
0190_1.npy,True
0041_0.npy,True
0128_5.npy,False
0179_6.npy,True
0162_7.npy,True
0248_6.npy,True
0084_2.npy,True
0132_1.npy,True
0012_7.npy,True
0176_3.npy,False
0092_0.npy,True
0092_6.npy,True
0151_7.npy,True
0251_4.npy,True
0060_6.npy,True
0026_5.npy,True
0105_7.npy,True
0237_2.npy,True
0164_2.npy,True
0164_6.npy,True
0151_5.npy,False
0216_7.npy,True
0190_2.npy,True
0162_1.npy,True
0012_4.npy,True
0128_0.npy,True
0260_3.npy,True
0264_7.npy,True
0248_5.npy,True
0012_0.npy,True
0205_1.npy,True
0170_1.npy,True
0026_3.npy,True
0084_6.npy,True
0216_2.npy,True
0092_1.npy,True
0079_2.npy,True
0151_3.npy,False
